ein,company_name,n_downshifts,n_establishments_affected,total_employees_affected,avg_dart_delta,worst_dart_delta,years_active,states
384092683,ImageFIRST; ImageFIRST  Healthcare Laundry Specialist; ImageFIRST Healthcare Laundry Specialist; ImageFIRST Healthcare Laundry Specialists,14,14,1422,-0.6,-0.6,"2021, 2022","CA, CO, GA, IA, KS, MI, MO, NJ, NY, PA, TX"
910425694,The Boeing Company,14,14,15196,-1.0,-1.6,"2022, 2023","AZ, CA, FL, GA, LA, MO, UT, WA"
440651985,O'Reilly Auto Parts,13,13,4466,-2.6,-2.6,"2022, 2023","AL, AR, FL, GA, IA, IN, MO, MS, NC, OK, TN"
450283814,ACME Tools,13,13,582,-0.32,-0.5,"2022, 2023","IA, MN, ND"
810902721,Goodwill Industries of Central Oklahoma,13,13,296,-1.1,-1.1,"2022, 2023",OK
840166760,Children's Hospital Colorado,13,13,10906,-0.5,-0.5,"2022, 2023",CO
952945008,Commodity Forwarders Inc.,13,13,454,-3.4,-3.4,"2022, 2023","AK, CA, FL, HI, IL, MA, NY, WA"
203268390,"FlexPrint, LLC",12,12,1047,-0.93,-1.2,"2021, 2022, 2023, 2024","AZ, CA, CT, IN, OH, TX"
260085123,"P&S Transportation; P&S Transportation, LLC",12,12,1129,-0.6,-0.6,"2021, 2022","AL, GA, IL, IN, NJ, OH, SC, TN, TX, VA"
396090019,Clean Harbors,12,12,353,-1.12,-1.2,"2022, 2023, 2024","CA, IN, LA, MA, NH, NV"
430398035,Macy's Inc. CARLE PLACE FURNITURE 124; Macy's Inc. FRESNO FURNITURE 365; Macy's Inc. PARAMUS FURNITURE 126; Macy's Inc. PERIMETER FURNITURE 741; Macy's Inc. PLEASANTON FURNITURE 343; Macy's Inc. ROSEV,12,12,367,-1.81,-2.1,"2021, 2022, 2023, 2024","CA, FL, GA, IL, MN, NJ, NY"
742207268,Redi Carpet Inc,12,12,493,-0.52,-0.7,"2023, 2024","AZ, CA, CO, FL, GA, NC, PA, TX, VA"
951947206,Ralphs Grocery Company,12,12,972,-1.15,-1.9,"2022, 2023",CA
471523316,Zoox; Zoox Inc.,11,11,2792,-1.02,-1.1,"2022, 2023, 2024","CA, MA, NV"
560950585,"Coca Cola Consolidated, Inc.",11,11,1337,-0.4,-0.4,"2022, 2023","KY, MD, SC, WV"
710732557,Priority Wire & Cable Inc,11,11,527,-0.8,-0.8,"2023, 2024","AL, AR, CO, FL, GA, NV, PA, TX"
820544687,Amazon.com Services LLC,11,11,3591,-2.91,-3.8,"2021, 2022, 2023","AZ, FL, IL, KY, NJ, NV, PA, TX, UT"
